error,time
-8,1762746319.8577223
-8,1762746319.889462
783,1762746319.9055016
-9,1762746319.9214594
782,1762746319.9374964
-10,1762746319.9535043
-10,1762746319.9695263
783,1762746319.9855697
-11,1762746320.0015507
-10,1762746320.0175707
-9,1762746320.033557
-9,1762746320.0496097
-10,1762746320.0816097
-11,1762746320.0976114
-10,1762746320.1136296
-10,1762746320.129621
-11,1762746320.1456382
-11,1762746320.1616561
-10,1762746320.1776605
-10,1762746320.193674
782,1762746320.209668
-11,1762746320.2256718
782,1762746320.2580132
-11,1762746320.289738
-9,1762746320.305717
-9,1762746320.3216965
-11,1762746320.3377428
-11,1762746320.3537974
-9,1762746320.3697586
-9,1762746320.3857484
-10,1762746320.401786
-10,1762746320.417793
-10,1762746320.4337845
-9,1762746320.4498012
-11,1762746320.4818335
-10,1762746320.4978256
-9,1762746320.5138657
-10,1762746320.5298634
-11,1762746320.5458486
-12,1762746320.5618565
782,1762746320.5778713
-10,1762746320.5938966
782,1762746320.609876
-9,1762746320.625886
-9,1762746320.6418908
-9,1762746320.6579154
-10,1762746320.6739502
-10,1762746320.6899467
-10,1762746320.7059762
-10,1762746320.7219546
-11,1762746320.7379777
-11,1762746320.7541285
-10,1762746320.7700117
-10,1762746320.786025
-8,1762746320.8020082
-12,1762746320.818115
5,1762746320.8339856
5,1762746320.8662567
5,1762746320.8822522
13,1762746320.8983521
13,1762746320.9142222
14,1762746320.930182
14,1762746320.94608
10,1762746320.96216
10,1762746320.978074
10,1762746320.9941022
2,1762746321.0100842
2,1762746321.026095
-3,1762746321.042113
-3,1762746321.0581477
-5,1762746321.0741427
-14,1762746321.090165
-15,1762746321.1061654
-27,1762746321.1221952
782,1762746321.138192
783,1762746321.1542242
782,1762746321.1704118
782,1762746321.186226
782,1762746321.2022398
782,1762746321.218223
782,1762746321.2342458
-77,1762746321.2662804
-77,1762746321.28225
-98,1762746321.2982838
-97,1762746321.3142812
-122,1762746321.3303223
-123,1762746321.3463304
-151,1762746321.3623407
-150,1762746321.3785508
-149,1762746321.3943596
-174,1762746321.4103699
-174,1762746321.4264007
-184,1762746321.4423985
-184,1762746321.458392
-185,1762746321.4744143
-181,1762746321.4904137
782,1762746321.5063949
782,1762746321.52246
-176,1762746321.538461
-158,1762746321.5544443
-158,1762746321.5704846
-157,1762746321.5865836
-139,1762746321.6025162
-139,1762746321.6185842
-116,1762746321.6505902
-116,1762746321.6665907
-117,1762746321.6826072
-91,1762746321.6985784
-90,1762746321.7145722
-62,1762746321.730603
-60,1762746321.7465801
-31,1762746321.7625778
-30,1762746321.7786036
227,1762746321.7946742
3,1762746321.8105733
2,1762746321.8265755
32,1762746321.8426015
32,1762746321.858625
33,1762746321.8746488
64,1762746321.890635
64,1762746321.9066617
85,1762746321.9226866
86,1762746321.9386897
101,1762746321.9546885
101,1762746321.9706929
100,1762746321.9867077
108,1762746322.0028946
108,1762746322.01887
105,1762746322.0508091
106,1762746322.0667994
106,1762746322.0827937
101,1762746322.0988765
101,1762746322.1149008
88,1762746322.1307726
87,1762746322.1468024
73,1762746322.162907
72,1762746322.178813
72,1762746322.194869
51,1762746322.2109184
52,1762746322.2268302
30,1762746322.2428412
31,1762746322.2588494
30,1762746322.2748873
7,1762746322.2908852
6,1762746322.3068976
-21,1762746322.3229282
-20,1762746322.338965
-58,1762746322.3550634
-56,1762746322.370934
-56,1762746322.3869586
-92,1762746322.402965
-90,1762746322.4190404
-127,1762746322.451023
-128,1762746322.4670353
-127,1762746322.4830213
-157,1762746322.499033
-157,1762746322.515025
-181,1762746322.531079
-180,1762746322.5470834
-194,1762746322.5630763
-195,1762746322.5790923
-196,1762746322.595201
-200,1762746322.611136
-199,1762746322.6271503
-191,1762746322.6430836
-191,1762746322.6592038
-191,1762746322.6752045
-180,1762746322.6911557
-181,1762746322.707142
-165,1762746322.7231605
-165,1762746322.7391942
-149,1762746322.755163
-150,1762746322.7711542
-150,1762746322.7871604
-128,1762746322.8032029
-129,1762746322.8191721
-104,1762746322.851218
-103,1762746322.867242
-105,1762746322.883307
-81,1762746322.899271
-82,1762746322.9152694
-54,1762746322.9312696
-54,1762746322.9472923
-26,1762746322.9633062
-28,1762746322.9792898
-28,1762746322.9953005
6,1762746323.011302
6,1762746323.027301
37,1762746323.0433388
37,1762746323.0593696
36,1762746323.0753474
63,1762746323.0913877
64,1762746323.1073458
85,1762746323.1233635
84,1762746323.1393688
96,1762746323.1553833
96,1762746323.1713834
96,1762746323.1874385
102,1762746323.2034898
102,1762746323.2354262
355,1762746323.2514746
99,1762746323.2674649
99,1762746323.2834568
91,1762746323.299498
92,1762746323.3155496
78,1762746323.3314996
80,1762746323.3474944
57,1762746323.363586
58,1762746323.3795204
59,1762746323.3955443
29,1762746323.411675
33,1762746323.427579
-3,1762746323.4435668
-3,1762746323.4595652
-5,1762746323.475587
-42,1762746323.491626
-43,1762746323.5076022
-84,1762746323.5236714
-86,1762746323.5396311
-131,1762746323.5556557
-129,1762746323.5716639
783,1762746323.5876806
782,1762746323.6036625
-173,1762746323.6359856
-195,1762746323.6520395
-195,1762746323.6681871
-194,1762746323.6841516
-202,1762746323.7001717
-202,1762746323.716146
-208,1762746323.73211
-207,1762746323.7480333
-192,1762746323.7638905
-191,1762746323.77986
-191,1762746323.7958622
-174,1762746323.8118289
-173,1762746323.8278148
-156,1762746323.8438284
-155,1762746323.8598382
-154,1762746323.8758278
-133,1762746323.8918617
-131,1762746323.907859
-103,1762746323.9238837
-105,1762746323.9401362
-77,1762746323.9559004
-76,1762746323.9718955
-76,1762746323.9878967
-44,1762746324.0200891
-44,1762746324.0363295
-11,1762746324.0522578
-10,1762746324.0680976
-12,1762746324.0839827
28,1762746324.0999758
26,1762746324.1159787
61,1762746324.1319814
61,1762746324.148175
88,1762746324.1639972
89,1762746324.1800308
90,1762746324.1960506
108,1762746324.212056
108,1762746324.2280533
116,1762746324.2440543
116,1762746324.2600489
116,1762746324.2760942
114,1762746324.2920825
113,1762746324.3080785
105,1762746324.3240786
105,1762746324.3401015
91,1762746324.3561938
91,1762746324.3721356
91,1762746324.388135
73,1762746324.4201353
74,1762746324.436159
51,1762746324.4521637
52,1762746324.4681623
53,1762746324.4841952
30,1762746324.5001948
31,1762746324.516191
4,1762746324.5321956
3,1762746324.5481992
-26,1762746324.5643122
-28,1762746324.580228
-27,1762746324.596252
-58,1762746324.6122692
-59,1762746324.6282647
-94,1762746324.6442618
-94,1762746324.6602883
-94,1762746324.6764846
-133,1762746324.6923473
-131,1762746324.708491
-168,1762746324.7244778
-167,1762746324.7403972
-187,1762746324.7565818
-188,1762746324.7724283
-189,1762746324.7884262
-200,1762746324.820382
-200,1762746324.8363786
-196,1762746324.8524363
-196,1762746324.8684242
-185,1762746324.8844554
-186,1762746324.9004495
-185,1762746324.9164386
-174,1762746324.9324524
-173,1762746324.9484692
-159,1762746324.9644682
-158,1762746324.9807444
-158,1762746324.996481
-140,1762746325.012498
-140,1762746325.0285094
-122,1762746325.044525
-122,1762746325.060522
-101,1762746325.076547
-101,1762746325.092593
-102,1762746325.1085587
-77,1762746325.1245372
-78,1762746325.1405668
-53,1762746325.1565738
-51,1762746325.1725729
-52,1762746325.188608
-26,1762746325.2208023
-24,1762746325.236932
5,1762746325.2528038
5,1762746325.2688246
40,1762746325.2848663
40,1762746325.300705
39,1762746325.3166566
70,1762746325.332662
69,1762746325.348661
89,1762746325.3646755
89,1762746325.38071
90,1762746325.396834
357,1762746325.4127285
100,1762746325.4287748
105,1762746325.444811
104,1762746325.4607894
99,1762746325.4768112
100,1762746325.49286
99,1762746325.5088015
84,1762746325.524848
83,1762746325.5408404
63,1762746325.5568492
63,1762746325.5728624
63,1762746325.5888743
34,1762746325.620914
34,1762746325.6368897
-1,1762746325.6529267
-2,1762746325.6688828
-36,1762746325.6848974
-37,1762746325.700916
-36,1762746325.7169304
-76,1762746325.7329414
-79,1762746325.7489552
-119,1762746325.7650754
-121,1762746325.7810893
-121,1762746325.79709
-158,1762746325.8131225
-158,1762746325.8291316
-190,1762746325.8450947
-190,1762746325.861065
-207,1762746325.8771193
-207,1762746325.8930955
-208,1762746325.9091249
-209,1762746325.9250975
-208,1762746325.9410977
-199,1762746325.957106
-198,1762746325.9731371
-198,1762746326.0051508
-181,1762746326.0211775
-181,1762746326.037126
-161,1762746326.053161
-162,1762746326.0691626
-137,1762746326.085184
-137,1762746326.1012056
-137,1762746326.1171963
-112,1762746326.1331964
-112,1762746326.1492658
-82,1762746326.1652582
-83,1762746326.1811903
-83,1762746326.1973627
-52,1762746326.2132757
-52,1762746326.229206
-19,1762746326.2452507
-18,1762746326.2612708
16,1762746326.2772768
16,1762746326.2933245
17,1762746326.30922
52,1762746326.32523
53,1762746326.3412704
79,1762746326.3572812
78,1762746326.373347
78,1762746326.4052896
97,1762746326.421377
97,1762746326.4374144
106,1762746326.453368
106,1762746326.469359
106,1762746326.4854388
105,1762746326.5015192
362,1762746326.517369
97,1762746326.533525
96,1762746326.5493646
85,1762746326.5653484
85,1762746326.5813932
84,1762746326.5974438
325,1762746326.6134672
68,1762746326.6294188
43,1762746326.6454368
44,1762746326.6614382
16,1762746326.6774237
15,1762746326.6934178
16,1762746326.7097132
-27,1762746326.7254338
-26,1762746326.7416553
-73,1762746326.757546
-71,1762746326.7895396
-70,1762746326.805577
-125,1762746326.8217142
-125,1762746326.8378193
-169,1762746326.8535726
-169,1762746326.869652
-201,1762746326.8857076
-201,1762746326.9015865
-201,1762746326.91786
-217,1762746326.9336152
-218,1762746326.9496057
-213,1762746326.9656312
-214,1762746326.9816513
-214,1762746326.997657
-200,1762746327.0136707
-201,1762746327.0300047
74,1762746327.0457082
-183,1762746327.061719
-161,1762746327.0776896
-161,1762746327.0937054
-162,1762746327.1097035
-138,1762746327.1258054
-139,1762746327.1417546
-114,1762746327.157806
-115,1762746327.1898332
-115,1762746327.2057862
-89,1762746327.2217567
-89,1762746327.237796
-64,1762746327.253849
-63,1762746327.2698865
-37,1762746327.2858047
-37,1762746327.301838
-36,1762746327.3178291
-4,1762746327.3339171
-6,1762746327.3498316
26,1762746327.3658547
26,1762746327.3818688
25,1762746327.3978817
59,1762746327.4138885
59,1762746327.4298937
84,1762746327.445891
85,1762746327.461927
103,1762746327.477932
140,1762746327.4939396
103,1762746327.5099728
116,1762746327.5259738
115,1762746327.5421047
115,1762746327.5579188
116,1762746327.5739827
116,1762746327.6059864
102,1762746327.6219904
102,1762746327.638018
78,1762746327.654028
78,1762746327.6700025
48,1762746327.6860163
49,1762746327.7020276
47,1762746327.7180333
15,1762746327.7340348
14,1762746327.7501101
-24,1762746327.7660902
-23,1762746327.7820897
-23,1762746327.798143
-66,1762746327.8141203
-66,1762746327.8301115
-115,1762746327.8461492
-115,1762746327.8621376
-154,1762746327.8781593
-157,1762746327.8941557
-155,1762746327.9102774
-184,1762746327.9262676
-185,1762746327.942301
-202,1762746327.9584897
-202,1762746327.9905026
-203,1762746328.0067043
-203,1762746328.0227115
-204,1762746328.038647
-201,1762746328.054643
-201,1762746328.070428
-185,1762746328.0863488
-185,1762746328.1022992
-185,1762746328.1182895
-167,1762746328.1343076
-166,1762746328.1503377
-144,1762746328.166305
-143,1762746328.1823387
-143,1762746328.1984534
-119,1762746328.214391
-119,1762746328.230359
-89,1762746328.2463753
-89,1762746328.2623594
-60,1762746328.2783227
-61,1762746328.2943745
-62,1762746328.3103797
-26,1762746328.3263974
-26,1762746328.3424175
10,1762746328.3583987
11,1762746328.390436
11,1762746328.406434
50,1762746328.4224439
50,1762746328.4385061
84,1762746328.454466
84,1762746328.4704664
109,1762746328.486485
108,1762746328.5024931
109,1762746328.5185132
125,1762746328.5345201
125,1762746328.550549
127,1762746328.5665438
127,1762746328.5825434
127,1762746328.598558
117,1762746328.6145692
118,1762746328.630575
105,1762746328.64673
104,1762746328.6625645
88,1762746328.6785798
88,1762746328.6946206
86,1762746328.710618
58,1762746328.7266123
60,1762746328.7426193
28,1762746328.7748923
29,1762746328.7909102
28,1762746328.8068993
8,1762746328.822916
8,1762746328.8389814
-14,1762746328.8549824
-14,1762746328.8709695
-32,1762746328.8871956
-33,1762746328.9030347
-33,1762746328.919167
-51,1762746328.9350858
-52,1762746328.9514635
-68,1762746328.967301
-69,1762746328.9831245
188,1762746328.998968
-78,1762746329.014927
-78,1762746329.0308716
-89,1762746329.0469189
-89,1762746329.062926
-100,1762746329.078975
-99,1762746329.095141
-99,1762746329.1109762
-115,1762746329.126981
-114,1762746329.159013
-133,1762746329.1749647
-134,1762746329.1909504
-141,1762746329.2069697
-140,1762746329.2229953
-140,1762746329.2389672
-144,1762746329.254969
-144,1762746329.271165
-145,1762746329.2869906
-145,1762746329.3029985
-145,1762746329.3190007
-148,1762746329.3350039
-147,1762746329.3510036
-149,1762746329.3670855
-149,1762746329.3831692
115,1762746329.3991017
-141,1762746329.4150405
-141,1762746329.4310648
-129,1762746329.4471214
-129,1762746329.463113
-134,1762746329.4793
-134,1762746329.4951816
-136,1762746329.5110781
-137,1762746329.5271168
-138,1762746329.5431495
-138,1762746329.5753427
-137,1762746329.5915096
-136,1762746329.6075509
-138,1762746329.623321
-137,1762746329.6392617
-137,1762746329.6551952
